source,target,connected,percent_source,percent_target
1,2,FALSE,0,0
1,3,FALSE,0,0
1,4,FALSE,0,0
1,5,FALSE,0,0
1,6,FALSE,0,0
1,7,FALSE,0,0
1,8,FALSE,0,0
1,9,FALSE,0,0
1,10,FALSE,0,0
1,11,FALSE,0,0
1,12,FALSE,0,0
1,13,FALSE,0,0
1,14,FALSE,0,0
1,15,FALSE,0,0
1,16,FALSE,0,0
1,17,FALSE,0,0
1,18,FALSE,0,0
1,19,FALSE,0,0
1,20,FALSE,0,0
1,21,FALSE,0,0
1,22,FALSE,0,0
1,23,FALSE,0,0
1,24,FALSE,0,0
1,25,FALSE,0,0
1,26,FALSE,0,0
1,27,FALSE,0,0
1,28,FALSE,0,0
1,29,FALSE,0,0
1,30,FALSE,0,0
2,3,TRUE,0.5,0.333333333333333
2,4,FALSE,0,0
2,5,FALSE,0,0
2,6,FALSE,0,0
2,7,FALSE,0,0
2,8,FALSE,0,0
2,9,FALSE,0,0
2,10,FALSE,0,0
2,11,FALSE,0,0
2,12,FALSE,0,0
2,13,FALSE,0,0
2,14,FALSE,0,0
2,15,FALSE,0,0
2,16,FALSE,0,0
2,17,FALSE,0,0
2,18,FALSE,0,0
2,19,FALSE,0,0
2,20,FALSE,0,0
2,21,FALSE,0,0
2,22,FALSE,0,0
2,23,FALSE,0,0
2,24,FALSE,0,0
2,25,FALSE,0,0
2,26,FALSE,0,0
2,27,FALSE,0,0
2,28,FALSE,0,0
2,29,FALSE,0,0
2,30,FALSE,0,0
3,4,FALSE,0,0
3,5,FALSE,0,0
3,6,FALSE,0,0
3,7,FALSE,0,0
3,8,FALSE,0,0
3,9,FALSE,0,0
3,10,FALSE,0,0
3,11,FALSE,0,0
3,12,FALSE,0,0
3,13,FALSE,0,0
3,14,FALSE,0,0
3,15,FALSE,0,0
3,16,FALSE,0,0
3,17,FALSE,0,0
3,18,FALSE,0,0
3,19,FALSE,0,0
3,20,FALSE,0,0
3,21,FALSE,0,0
3,22,FALSE,0,0
3,23,FALSE,0,0
3,24,FALSE,0,0
3,25,FALSE,0,0
3,26,FALSE,0,0
3,27,FALSE,0,0
3,28,FALSE,0,0
3,29,FALSE,0,0
3,30,FALSE,0,0
4,5,FALSE,0,0
4,6,FALSE,0,0
4,7,FALSE,0,0
4,8,FALSE,0,0
4,9,FALSE,0,0
4,10,FALSE,0,0
4,11,FALSE,0,0
4,12,FALSE,0,0
4,13,FALSE,0,0
4,14,FALSE,0,0
4,15,FALSE,0,0
4,16,FALSE,0,0
4,17,FALSE,0,0
4,18,FALSE,0,0
4,19,FALSE,0,0
4,20,FALSE,0,0
4,21,FALSE,0,0
4,22,FALSE,0,0
4,23,FALSE,0,0
4,24,FALSE,0,0
4,25,FALSE,0,0
4,26,FALSE,0,0
4,27,FALSE,0,0
4,28,FALSE,0,0
4,29,FALSE,0,0
4,30,FALSE,0,0
5,6,FALSE,0,0
5,7,FALSE,0,0
5,8,FALSE,0,0
5,9,FALSE,0,0
5,10,FALSE,0,0
5,11,FALSE,0,0
5,12,FALSE,0,0
5,13,FALSE,0,0
5,14,FALSE,0,0
5,15,FALSE,0,0
5,16,FALSE,0,0
5,17,FALSE,0,0
5,18,FALSE,0,0
5,19,FALSE,0,0
5,20,FALSE,0,0
5,21,FALSE,0,0
5,22,FALSE,0,0
5,23,FALSE,0,0
5,24,FALSE,0,0
5,25,FALSE,0,0
5,26,FALSE,0,0
5,27,FALSE,0,0
5,28,FALSE,0,0
5,29,FALSE,0,0
5,30,FALSE,0,0
6,7,FALSE,0,0
6,8,FALSE,0,0
6,9,FALSE,0,0
6,10,FALSE,0,0
6,11,FALSE,0,0
6,12,FALSE,0,0
6,13,FALSE,0,0
6,14,FALSE,0,0
6,15,FALSE,0,0
6,16,FALSE,0,0
6,17,FALSE,0,0
6,18,FALSE,0,0
6,19,FALSE,0,0
6,20,FALSE,0,0
6,21,FALSE,0,0
6,22,FALSE,0,0
6,23,FALSE,0,0
6,24,FALSE,0,0
6,25,FALSE,0,0
6,26,FALSE,0,0
6,27,FALSE,0,0
6,28,FALSE,0,0
6,29,FALSE,0,0
6,30,FALSE,0,0
7,8,FALSE,0,0
7,9,FALSE,0,0
7,10,FALSE,0,0
7,11,FALSE,0,0
7,12,FALSE,0,0
7,13,FALSE,0,0
7,14,FALSE,0,0
7,15,FALSE,0,0
7,16,FALSE,0,0
7,17,FALSE,0,0
7,18,FALSE,0,0
7,19,FALSE,0,0
7,20,FALSE,0,0
7,21,FALSE,0,0
7,22,FALSE,0,0
7,23,FALSE,0,0
7,24,FALSE,0,0
7,25,FALSE,0,0
7,26,FALSE,0,0
7,27,FALSE,0,0
7,28,FALSE,0,0
7,29,FALSE,0,0
7,30,FALSE,0,0
8,9,TRUE,0.2,0.166666666666667
8,10,FALSE,0,0
8,11,FALSE,0,0
8,12,FALSE,0,0
8,13,FALSE,0,0
8,14,FALSE,0,0
8,15,FALSE,0,0
8,16,FALSE,0,0
8,17,FALSE,0,0
8,18,FALSE,0,0
8,19,FALSE,0,0
8,20,FALSE,0,0
8,21,FALSE,0,0
8,22,FALSE,0,0
8,23,FALSE,0,0
8,24,FALSE,0,0
8,25,FALSE,0,0
8,26,FALSE,0,0
8,27,FALSE,0,0
8,28,FALSE,0,0
8,29,FALSE,0,0
8,30,FALSE,0,0
9,10,FALSE,0,0
9,11,FALSE,0,0
9,12,FALSE,0,0
9,13,FALSE,0,0
9,14,FALSE,0,0
9,15,FALSE,0,0
9,16,FALSE,0,0
9,17,FALSE,0,0
9,18,FALSE,0,0
9,19,FALSE,0,0
9,20,FALSE,0,0
9,21,FALSE,0,0
9,22,FALSE,0,0
9,23,FALSE,0,0
9,24,FALSE,0,0
